00:00.320  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/assets/lighting.blend"
[check] linked ARCH: ok
[check] linked ENV: ok
[common] set_lod viewport=LOD1 render=LOD0: 5128 objects, 6 collections
[check] 103 samples x 96 rays in 9.8s

  frame     t |      x      y     z | nearest  what                              |   agl surface                    | speed  leg
    541  22.5 |   70.3   20.0  1.14 |    1.72  ENV_terrain_ground               |  1.71 ENV_terrain_ground         |  5.60  shore
    553  23.0 |   69.9   17.3  1.15 |    1.76  ENV_terrain_ground               |  1.75 ENV_terrain_ground         |  5.60  shore
    565  23.5 |   69.0   14.6  1.13 |    1.75  ENV_terrain_ground               |  1.74 ENV_terrain_ground         |  5.28  shore
    577  24.0 |   68.0   12.5  1.11 |    1.72  ENV_terrain_ground               |  1.71 ENV_terrain_ground         |  4.60  gallery
    589  24.5 |   66.7   10.6  1.09 |    1.70  ENV_terrain_ground               |  1.69 ENV_terrain_ground         |  4.60  gallery
    601  25.0 |   67.2    8.4  1.06 |    1.75  ENV_terrain_ground               |  1.74 ENV_terrain_ground         |  4.60  gallery
    613  25.5 |   68.9    6.9  1.03 |    1.76  ENV_ground_colonnade_walk        |  1.74 ENV_ground_colonnade_walk  |  4.60  gallery
    625  26.0 |   70.9    5.7  1.03 |    1.64  ARCH_colonnade_south_column_022_LOD1 |  1.75 ENV_ground_colonnade_walk  |  4.60  gallery
    637  26.5 |   72.7    4.3  1.09 |    1.53  ARCH_colonnade_south_column_024_LOD1 |  1.76 ENV_ground_colonnade_walk  |  4.60  gallery
    649  27.0 |   73.0    2.6  1.16 |    1.71  ARCH_colonnade_south_column_023_LOD1 |  1.78 ENV_terrain_ground         |  4.60  gallery
    661  27.5 |   71.2    1.1  1.15 |    1.67  ARCH_colonnade_south_column_022_LOD1 |  1.85 ENV_terrain_ground         |  4.60  gallery
    673  28.0 |   69.6   -0.5  1.15 |    1.44  ARCH_colonnade_south_column_021_LOD1 |  1.83 ENV_ground_colonnade_walk  |  4.60  gallery
    685  28.5 |   67.9   -2.1  1.15 |    1.81  ENV_terrain_ground               |  1.78 ENV_terrain_ground         |  4.60  gallery
    697  29.0 |   66.2   -3.6  1.15 |    1.51  ARCH_colonnade_south_column_019_LOD1 |  1.81 ENV_terrain_ground         |  4.60  gallery
    709  29.5 |   64.4   -5.1  1.15 |    1.73  ENV_shrub_pitto1_1107_LOD1       |  1.83 ENV_terrain_ground         |  4.60  gallery
    721  30.0 |   62.6   -6.6  1.15 |    1.50  ARCH_colonnade_south_column_016_LOD1 |  1.85 ENV_terrain_ground         |  4.60  galleryBlender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 01:35:57)

    733  30.5 |   60.9   -8.0  1.15 |    1.84  ENV_ground_colonnade_walk        |  1.86 ENV_terrain_ground         |  4.60  gallery
    745  31.0 |   59.0   -9.4  1.15 |    1.51  ARCH_colonnade_south_column_014_LOD1 |  1.85 ENV_ground_colonnade_walk  |  4.60  gallery
    757  31.5 |   57.2  -10.7  1.15 |    1.90  ENV_ground_colonnade_walk        |  1.88 ENV_ground_colonnade_walk  |  4.60  gallery
