00:00.314  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/assets/lighting.blend"
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 01:35:57)
[check] linked ARCH: ok
[check] linked ENV: ok
[common] set_lod viewport=LOD1 render=LOD0: 5128 objects, 6 collections

[probe] cast down from z=3.0, eye = surface + 1.75
[probe]        x        y | surface                            z | eye_z  nearest  what
[probe]     62.0     56.0 | ENV_lagoon_water               -1.30 |  0.45     1.78  ENV_lagoon_water
[probe]     65.0     52.0 | ENV_lagoon_water               -1.30 |  0.45     1.78  ENV_lagoon_water
[probe]     67.0     50.0 | ENV_lagoon_bed                 -1.05 |  0.70     0.43  ENV_shrub_big1_1047_LOD1
[probe]     69.0     48.0 | ENV_shrub_big1_1047_LOD1        0.91 |  2.66     1.22  ENV_shrub_big1_1047_LOD1
[probe]     70.5     46.0 | ENV_ground_colonnade_walk      -0.66 |  1.09     1.15  ENV_shrub_big0_1051_LOD1
[probe]     72.0     46.0 | ENV_ground_colonnade_walk      -0.68 |  1.07     1.19  ENV_shrub_big0_1051_LOD1
[probe]     73.0     45.0 | ENV_ground_colonnade_walk      -0.71 |  1.04     1.78  ENV_ground_colonnade_walk
[probe]     74.0     44.0 | ENV_ground_colonnade_walk      -0.72 |  1.03     1.78  ENV_ground_colonnade_walk
[probe]     75.0     42.0 | ENV_ground_colonnade_walk      -0.69 |  1.06     1.77  ENV_ground_colonnade_walk
[probe]     74.0     40.0 | ENV_ground_colonnade_walk      -0.69 |  1.06     1.78  ENV_ground_colonnade_walk
[probe]     76.0     44.0 | ENV_ground_colonnade_walk      -0.70 |  1.05     1.77  ENV_ground_colonnade_walk
[probe]     71.0     44.0 | ENV_ground_colonnade_walk      -0.75 |  1.00     1.76  ENV_ground_colonnade_walk
[probe]     69.5     44.0 | ENV_ground_colonnade_walk      -0.70 |  1.05     1.79  ENV_ground_colonnade_walk
[probe]     68.0     50.0 | ENV_lagoon_bed                 -1.01 |  0.74     0.56  ENV_shrub_big1_1047_LOD1
[probe]     66.0     52.0 | ENV_lagoon_water               -1.30 |  0.45     1.78  ENV_lagoon_water
[probe]     70.0     52.0 | ENV_lagoon_water               -1.30 |  0.45     0.26  ENV_shrub_big1_1052_LOD1
blender_run.sh: pid 27214 exited rc=0 after 2 s (max 1200)
